2025-10-30 15:25:15 | INFO     | monitoring.logger | ============================================================
2025-10-30 15:25:15 | INFO     | monitoring.logger | Trading System Logging Initialized
2025-10-30 15:25:15 | INFO     | monitoring.logger | Log Directory: /Users/rajeevsingh/github/trading_app/logs/2025-10-30
2025-10-30 15:25:15 | INFO     | monitoring.logger | Log Level: INFO
2025-10-30 15:25:15 | INFO     | monitoring.logger | ============================================================
2025-10-30 15:25:15 | INFO     | __main__ | ============================================================
2025-10-30 15:25:15 | INFO     | __main__ | Starting Simple Backtest Example
2025-10-30 15:25:15 | INFO     | __main__ | ============================================================
2025-10-30 15:25:15 | INFO     | __main__ | Testing strategy on: AAPL, MSFT, GOOGL
2025-10-30 15:25:15 | INFO     | __main__ | 
Collecting historical data...
2025-10-30 15:25:15 | INFO     | __main__ | Fetching AAPL...
2025-10-30 15:25:15 | INFO     | data.data_collector | Fetching AAPL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 1)
2025-10-30 15:25:15 | INFO     | yfinance | Failed to create TzCache, reason: Error creating TzCache folder: '/Users/rajeevsingh/Library/Caches/py-yfinance' reason: [Errno 1] Operation not permitted: '/Users/rajeevsingh/Library/Caches/py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2025-10-30 15:25:15 | INFO     | yfinance | Failed to create CookieCache, reason: Error creating CookieCache folder: '/Users/rajeevsingh/Library/Caches/py-yfinance' reason: [Errno 1] Operation not permitted: '/Users/rajeevsingh/Library/Caches/py-yfinance'. CookieCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2025-10-30 15:25:15 | ERROR    | yfinance | Failed to get ticker 'AAPL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:15 | ERROR    | data.data_collector | Error fetching AAPL (attempt 1): Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:16 | INFO     | data.data_collector | Fetching AAPL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 2)
2025-10-30 15:25:16 | ERROR    | yfinance | Failed to get ticker 'AAPL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:16 | ERROR    | data.data_collector | Error fetching AAPL (attempt 2): Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:18 | INFO     | data.data_collector | Fetching AAPL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 3)
2025-10-30 15:25:18 | ERROR    | yfinance | Failed to get ticker 'AAPL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:18 | ERROR    | yfinance | $AAPL: possibly delisted; no timezone found
2025-10-30 15:25:18 | WARNING  | data.data_collector | No data returned for AAPL
2025-10-30 15:25:18 | WARNING  | __main__ |   No data for AAPL
2025-10-30 15:25:18 | INFO     | __main__ | Fetching MSFT...
2025-10-30 15:25:18 | INFO     | data.data_collector | Fetching MSFT data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 1)
2025-10-30 15:25:18 | ERROR    | yfinance | Failed to get ticker 'MSFT' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:18 | ERROR    | yfinance | $MSFT: possibly delisted; no timezone found
2025-10-30 15:25:18 | WARNING  | data.data_collector | No data returned for MSFT
2025-10-30 15:25:18 | WARNING  | __main__ |   No data for MSFT
2025-10-30 15:25:18 | INFO     | __main__ | Fetching GOOGL...
2025-10-30 15:25:18 | INFO     | data.data_collector | Fetching GOOGL data from 2025-10-23 to 2025-10-30 (interval: 5m, attempt: 1)
2025-10-30 15:25:18 | ERROR    | yfinance | Failed to get ticker 'GOOGL' reason: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-10-30 15:25:18 | ERROR    | yfinance | $GOOGL: possibly delisted; no timezone found
2025-10-30 15:25:18 | WARNING  | data.data_collector | No data returned for GOOGL
